hu-seasonal	source	assay_component	strainname	host	us_lineage	date	accession	subtype	country	global_sw_clade	new_global_lineage
fludb|JQ809724|A/swine/Illinois/A01047930/2011|H1N1|USA|Swine|1A.3.2|01/12/2011	fludb	na	A/swine/Illinois/A01047930/2011	swine	na	12/01/2011	JQ809724	H1N1	USA	1A.3.2	1A.3.2
fludb|JF833342|A/swine/Illinois/A01049164/2010|H1N2|USA|Swine|1B.2.1|12/01/2010	fludb	na	A/swine/Illinois/A01049164/2010	swine	na	01/12/2010	JF833342	H1N2	USA	1B.2.1	1B.2.1
fludb|KC951204|A/swine/Illinois/A01158947/2012|H1N2|USA|Swine|1B.2.2.2|12/28/2012	fludb	na	A/swine/Illinois/A01158947/2012	swine	na	28/12/2012	KC951204	H1N2	USA	1B.2.2.2	1B.2.2.2
fludb|KC134375|A/swine/Illinois/A01203922/2012|H1N1|USA|Swine|1A.3.2|10/2012	fludb	na	A/swine/Illinois/A01203922/2012	swine	na	2012-10-	KC134375	H1N1	USA	1A.3.2	1A.3.2
fludb|JX422302|A/swine/Illinois/A01240824/2011|H1N2|USA|Swine|1A.3.3.3|12/30/2011	fludb	na	A/swine/Illinois/A01240824/2011	swine	na	30/12/2011	JX422302	H1N2	USA	1A.3.3.3	1A.3.3.3
fludb|JX422227|A/swine/Illinois/A01241173/2012|H1N2|USA|Swine|1A.2|01/10/2012	fludb	na	A/swine/Illinois/A01241173/2012	swine	na	10/01/2012	JX422227	H1N2	USA	1A.2	1A.2
fludb|KC620416|A/swine/Illinois/A01244468/2013|H1N1|USA|Swine|1A.3.3.3|02/2013	fludb	na	A/swine/Illinois/A01244468/2013	swine	na	2013-02-	KC620416	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|KF569208|A/swine/Illinois/A01244964/2013|H1N1|USA|Swine|1A.2|08/2013	fludb	na	A/swine/Illinois/A01244964/2013	swine	na	2013-08-	KF569208	H1N1	USA	1A.2	1A.2
fludb|KF569190|A/swine/Illinois/A01244990/2013|H1N2|USA|Swine|1B.2.2.2|08/2013	fludb	na	A/swine/Illinois/A01244990/2013	swine	na	2013-08-	KF569190	H1N2	USA	1B.2.2.2	1B.2.2.2
fludb|KC013559|A/swine/Illinois/A01270275/2012|H1N2|USA|Swine|1B.2.2.2|09/26/2012	fludb	na	A/swine/Illinois/A01270275/2012	swine	na	26/09/2012	KC013559	H1N2	USA	1B.2.2.2	1B.2.2.2
fludb|KF649004|A/swine/Illinois/A01291356/2013|H1N2|USA|Swine|1B.2.2.1|08/2013	fludb	na	A/swine/Illinois/A01291356/2013	swine	na	2013-08-	KF649004	H1N2	USA	1B.2.2.1	1B.2.2.1
fludb|KF922825|A/swine/Illinois/A01291840/2013|H1N2|USA|Swine|1B.2.2.2|11/2013	fludb	na	A/swine/Illinois/A01291840/2013	swine	na	2013-11-	KF922825	H1N2	USA	1B.2.2.2	1B.2.2.2
fludb|KC759335|A/swine/Illinois/A01349041/2013|H1N2|USA|Swine|1B.2.2.2|02/25/2013	fludb	na	A/swine/Illinois/A01349041/2013	swine	na	25/02/2013	KC759335	H1N2	USA	1B.2.2.2	1B.2.2.2
fludb|KJ130222|A/swine/Illinois/A01366358/2013|H1N1|USA|Swine|1A.3.3.3|12/17/2013	fludb	na	A/swine/Illinois/A01366358/2013	swine	na	17/12/2013	KJ130222	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|KC871070|A/swine/Illinois/A01379021/2013|H1N2|USA|Swine|1B.2.2.2|03/19/2013	fludb	na	A/swine/Illinois/A01379021/2013	swine	na	19/03/2013	KC871070	H1N2	USA	1B.2.2.2	1B.2.2.2
fludb|KF611813|A/swine/Illinois/A01398628/2013|H1N1|USA|Swine|1A.3.3.2|08/09/2013	fludb	na	A/swine/Illinois/A01398628/2013	swine	na	09/08/2013	KF611813	H1N1	USA	1A.3.3.2	1A.3.3.2
fludb|KF697079|A/swine/Illinois/A01399305/2013|H1N2|USA|Swine|1B.2.2.2|09/03/2013	fludb	na	A/swine/Illinois/A01399305/2013	swine	na	03/09/2013	KF697079	H1N2	USA	1B.2.2.2	1B.2.2.2
fludb|KF922750|A/swine/Illinois/A01409065/2013|H1N2|USA|Swine|1B.2.2.2|11/2013	fludb	na	A/swine/Illinois/A01409065/2013	swine	na	2013-11-	KF922750	H1N2	USA	1B.2.2.2	1B.2.2.2
fludb|KJ605033|A/swine/Illinois/A01410360/2014|H1N1|USA|Swine|1A.3.3.3|03/2014	fludb	na	A/swine/Illinois/A01410360/2014	swine	na	2014-03-	KJ605033	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|KJ130132|A/swine/Illinois/A01411204/2013|H1N1|USA|Swine|1A.3.3.3|12/2013	fludb	na	A/swine/Illinois/A01411204/2013	swine	na	2013-12-	KJ130132	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|KC616612|A/swine/Illinois/A01444723/2013|H1N2|USA|Swine|1B.2.2.2|01/17/2013	fludb	na	A/swine/Illinois/A01444723/2013	swine	na	17/01/2013	KC616612	H1N2	USA	1B.2.2.2	1B.2.2.2
fludb|KP662595|A/swine/Illinois/A01462070/2014|H1N1|USA|Swine|1A.3.3.3|11/25/2014	fludb	na	A/swine/Illinois/A01462070/2014	swine	na	25/11/2014	KP662595	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|KP890044|A/swine/Illinois/A01462632/2015|H1N2|USA|Swine|1A.3.3.3|01/28/2015	fludb	na	A/swine/Illinois/A01462632/2015	swine	na	28/01/2015	KP890044	H1N2	USA	1A.3.3.3	1A.3.3.3
fludb|KP186081|A/swine/Illinois/A01477750/2014|mixed|USA|Swine|1B.2.2.2|10/20/2014	fludb	na	A/swine/Illinois/A01477750/2014	swine	na	20/10/2014	KP186081	mixed	USA	1B.2.2.2	1B.2.2.2
fludb|KR074145|A/swine/Illinois/A01489872/2014|H1N2|USA|Swine|1B.2.2.1|10/14/2014	fludb	na	A/swine/Illinois/A01489872/2014	swine	na	14/10/2014	KR074145	H1N2	USA	1B.2.2.1	1B.2.2.1
fludb|KM013807|A/swine/Illinois/A01536664/2014|H1N1|USA|Swine|1A.3.3.3|05/14/2014	fludb	na	A/swine/Illinois/A01536664/2014	swine	na	14/05/2014	KM013807	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|KP288160|A/swine/Illinois/A01555015/2014|H1N2|USA|Swine|1A.2|11/18/2014	fludb	na	A/swine/Illinois/A01555015/2014	swine	na	18/11/2014	KP288160	H1N2	USA	1A.2	1A.2
fludb|MK109026|A/swine/Illinois/A01644407/2018|H1N2|USA|Swine|1B.2.2.1|10/08/2018	fludb	na	A/swine/Illinois/A01644407/2018	swine	na	08/10/2018	MK109026	H1N2	USA	1B.2.2.1	1B.2.2.1
fludb|MK360819|A/swine/Illinois/A01678603/2018|H1N2|USA|Swine|1B.2.2.1|12/21/2018	fludb	na	A/swine/Illinois/A01678603/2018	swine	na	21/12/2018	MK360819	H1N2	USA	1B.2.2.1	1B.2.2.1
fludb|KU513697|A/swine/Illinois/A01727636/2015|H1N2|USA|Swine|1B.2.2.2|12/10/2015	fludb	na	A/swine/Illinois/A01727636/2015	swine	na	10/12/2015	KU513697	H1N2	USA	1B.2.2.2	1B.2.2.2
fludb|KY210994|A/swine/Illinois/A01782816/2016|H1N2|USA|Swine|1B.2.2.1|11/01/2016	fludb	na	A/swine/Illinois/A01782816/2016	swine	na	01/11/2016	KY210994	H1N2	USA	1B.2.2.1	1B.2.2.1
fludb|KR863122|A/swine/Illinois/A01820485/2015|H1N1|USA|Swine|1A.3.3.3|04/24/2015	fludb	na	A/swine/Illinois/A01820485/2015	swine	na	24/04/2015	KR863122	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|KU379643|A/swine/Illinois/A01896080/2015|H1N2|USA|Swine|1B.2.2.1|11/30/2015	fludb	na	A/swine/Illinois/A01896080/2015	swine	na	30/11/2015	KU379643	H1N2	USA	1B.2.2.1	1B.2.2.1
fludb|MG650650|A/swine/Illinois/A02134971/2017|H1N2|USA|Swine|1B.2.2.1|10/27/2017	fludb	na	A/swine/Illinois/A02134971/2017	swine	na	27/10/2017	MG650650	H1N2	USA	1B.2.2.1	1B.2.2.1
fludb|MG681985|A/swine/Illinois/A02135882/2017|H1N2|USA|Swine|1A.1.1|11/03/2017	fludb	na	A/swine/Illinois/A02135882/2017	swine	na	03/11/2017	MG681985	H1N2	USA	1A.1.1	1A.1.1
fludb|MG720207|A/swine/Illinois/A02136890/2017|H1N2|USA|Swine|1A.1.1|11/28/2017	fludb	na	A/swine/Illinois/A02136890/2017	swine	na	28/11/2017	MG720207	H1N2	USA	1A.1.1	1A.1.1
fludb|MG822874|A/swine/Illinois/A02138512/2017|H1N2|USA|Swine|1B.2.2.1|12/12/2017	fludb	na	A/swine/Illinois/A02138512/2017	swine	na	12/12/2017	MG822874	H1N2	USA	1B.2.2.1	1B.2.2.1
fludb|MH345742|A/swine/Illinois/A02157797/2018|H1N1|USA|Swine|1A.2_3_like|04/11/2018	fludb	na	A/swine/Illinois/A02157797/2018	swine	na	11/04/2018	MH345742	H1N1	USA	1A.2_3_like	1A.2_3_like
fludb|MH444867|A/swine/Illinois/A02158517/2018|H1N2|USA|Swine|1B.2.2.1|05/09/2018	fludb	na	A/swine/Illinois/A02158517/2018	swine	na	09/05/2018	MH444867	H1N2	USA	1B.2.2.1	1B.2.2.1
fludb|MF375249|A/swine/Illinois/A02216460/2017|H1N2|USA|Swine|1B.2.2.2|05/24/2017	fludb	na	A/swine/Illinois/A02216460/2017	swine	na	24/05/2017	MF375249	H1N2	USA	1B.2.2.2	1B.2.2.2
fludb|MK156632|A/swine/Illinois/A02266179/2018|H1N2|USA|Swine|1B.2.1|10/09/2018	fludb	na	A/swine/Illinois/A02266179/2018	swine	na	09/10/2018	MK156632	H1N2	USA	1B.2.1	1B.2.1
fludb|MK156676|A/swine/Illinois/A02267443/2018|H1N2|USA|Swine|1A.1.1|10/05/2018	fludb	na	A/swine/Illinois/A02267443/2018	swine	na	05/10/2018	MK156676	H1N2	USA	1A.1.1	1A.1.1
fludb|MK249100|A/swine/Illinois/A02268767/2018|H1N1|USA|Swine|1A.3.3.3|11/06/2018	fludb	na	A/swine/Illinois/A02268767/2018	swine	na	06/11/2018	MK249100	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|MK452404|A/swine/Illinois/A02429360/2019|H1N2|USA|Swine|1B.2.1|01/08/2019	fludb	na	A/swine/Illinois/A02429360/2019	swine	na	08/01/2019	MK452404	H1N2	USA	1B.2.1	1B.2.1
fludb|MK477697|A/swine/Illinois/A02429385/2019|H1N2|USA|Swine|1B.2.1|01/08/2019	fludb	na	A/swine/Illinois/A02429385/2019	swine	na	08/01/2019	MK477697	H1N2	USA	1B.2.1	1B.2.1
fludb|MK622831|A/swine/Illinois/A02430474/2019|H1N2|USA|Swine|1A.1.1|02/01/2019	fludb	na	A/swine/Illinois/A02430474/2019	swine	na	01/02/2019	MK622831	H1N2	USA	1A.1.1	1A.1.1
fludb|MK967609|A/swine/Illinois/A02478448/2019|H1N2|USA|Swine|1A.1.1|04/26/2019	fludb	na	A/swine/Illinois/A02478448/2019	swine	na	26/04/2019	MK967609	H1N2	USA	1A.1.1	1A.1.1
fludb|CY099191|A/swine/Illinois/SG1141/2003|H1N1|USA|Swine|1A.3.3|03/07/2003	fludb	na	A/swine/Illinois/SG1141/2003	swine	na	07/03/2003	CY099191	H1N1	USA	1A.3.3	1A.3.3
fludb|MF973441|A/swine/Illinois/TM1702DTW22/2017|H1N2|USA|Swine|NA|02/13/2017	fludb	na	A/swine/Illinois/TM1702DTW22/2017	swine	na	13/02/2017	MF973441	H1N2	USA	NA	NA
fludb|HQ896632|A/swine/Indiana/0582_3/2009|H1N2|USA|Swine|1B.2.1|08/04/2009	fludb	na	A/swine/Indiana/0582_3/2009	swine	na	04/08/2009	HQ896632	H1N2	USA	1B.2.1	1B.2.1
fludb|KJ640555|A/swine/Indiana/13TOSU1047/2013|H1N2|USA|Swine|1A.3.3.3|07/01/2013	fludb	na	A/swine/Indiana/13TOSU1047/2013	swine	na	01/07/2013	KJ640555	H1N2	USA	1A.3.3.3	1A.3.3.3
fludb|KT828203|A/swine/Indiana/14TOSU0197/2014|H1N1|USA|Swine|1A.3.3.3|2014	fludb	na	A/swine/Indiana/14TOSU0197/2014	swine	na	2014--	KT828203	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|KX960599|A/swine/Indiana/14TOSU2671/2014|H1N1|USA|Swine|1A.3.3.3|07/12/2014	fludb	na	A/swine/Indiana/14TOSU2671/2014	swine	na	12/07/2014	KX960599	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|CY242806|A/swine/Indiana/16TOSU4367/2016|H1N2|USA|Swine|1B.2.1|07/01/2016	fludb	na	A/swine/Indiana/16TOSU4367/2016	swine	na	01/07/2016	CY242806	H1N2	USA	1B.2.1	1B.2.1
fludb|KY964052|A/swine/Indiana/16TOSU6511/2016|H1N1|USA|Swine|1A.3.3.3|05/01/2016	fludb	na	A/swine/Indiana/16TOSU6511/2016	swine	na	01/05/2016	KY964052	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|CY086880|A/swine/Indiana/240218/2010|H1N2|USA|Swine|1A.2|02/21/2010	fludb	na	A/swine/Indiana/240218/2010	swine	na	21/02/2010	CY086880	H1N2	USA	1A.2	1A.2
fludb|JX092312|A/swine/Indiana/A01202622/2011|H1N1|USA|Swine|1A.3.3.3|09/28/2011	fludb	na	A/swine/Indiana/A01202622/2011	swine	na	28/09/2011	JX092312	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|KF680052|A/swine/Indiana/A01260356/2013|H1N2|USA|Swine|1B.2.2.2|08/08/2013	fludb	na	A/swine/Indiana/A01260356/2013	swine	na	08/08/2013	KF680052	H1N2	USA	1B.2.2.2	1B.2.2.2
fludb|KF790586|A/swine/Indiana/A01260366/2013|H1N1|USA|Swine|1A.3.3.3|08/16/2013	fludb	na	A/swine/Indiana/A01260366/2013	swine	na	16/08/2013	KF790586	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|KF938952|A/swine/Indiana/A01260402/2013|H1N1|USA|Swine|1A.3.3.3|10/16/2013	fludb	na	A/swine/Indiana/A01260402/2013	swine	na	16/10/2013	KF938952	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|KJ650523|A/swine/Indiana/A01260477/2014|H1N2|USA|Swine|1B.2.2.2|01/28/2014	fludb	na	A/swine/Indiana/A01260477/2014	swine	na	28/01/2014	KJ650523	H1N2	USA	1B.2.2.2	1B.2.2.2
fludb|KM361414|A/swine/Indiana/A01260588/2014|H1N1|USA|Swine|1A.3.3.3|07/02/2014	fludb	na	A/swine/Indiana/A01260588/2014	swine	na	02/07/2014	KM361414	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|KP759777|A/swine/Indiana/A01260776/2015|H1N1|USA|Swine|1A.3.3.3|01/06/2015	fludb	na	A/swine/Indiana/A01260776/2015	swine	na	06/01/2015	KP759777	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|KR052692|A/swine/Indiana/A01260802/2015|H1N1|USA|Swine|1A.3.3.2|01/28/2015	fludb	na	A/swine/Indiana/A01260802/2015	swine	na	28/01/2015	KR052692	H1N1	USA	1A.3.3.2	1A.3.3.2
fludb|KT165014|A/swine/Indiana/A01260874/2015|H1N2|USA|Swine|1B.2.1|04/24/2015	fludb	na	A/swine/Indiana/A01260874/2015	swine	na	24/04/2015	KT165014	H1N2	USA	1B.2.1	1B.2.1
fludb|KT803999|A/swine/Indiana/A01260933/2015|H1N2|USA|Swine|1A.3.3.3|07/05/2015	fludb	na	A/swine/Indiana/A01260933/2015	swine	na	05/07/2015	KT803999	H1N2	USA	1A.3.3.3	1A.3.3.3
fludb|KM044316|A/swine/Indiana/A01410926/2014|H1N2|USA|Swine|1B.2.2.2|06/2014	fludb	na	A/swine/Indiana/A01410926/2014	swine	na	2014-06-	KM044316	H1N2	USA	1B.2.2.2	1B.2.2.2
fludb|KY995593|A/swine/Indiana/A01667098/2017|H1N2|USA|Swine|1B.2.1|03/03/2017	fludb	na	A/swine/Indiana/A01667098/2017	swine	na	03/03/2017	KY995593	H1N2	USA	1B.2.1	1B.2.1
fludb|KU565158|A/swine/Indiana/A01728621/2015|H1N2|USA|Swine|1B.2.1|12/29/2015	fludb	na	A/swine/Indiana/A01728621/2015	swine	na	29/12/2015	KU565158	H1N2	USA	1B.2.1	1B.2.1
fludb|KU598314|A/swine/Indiana/A01729046/2016|H1N1|USA|Swine|1A.3.3.3|01/05/2016	fludb	na	A/swine/Indiana/A01729046/2016	swine	na	05/01/2016	KU598314	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|KU695711|A/swine/Indiana/A01730363/2016|mixed|USA|Swine|1A.3.3.3|01/26/2016	fludb	na	A/swine/Indiana/A01730363/2016	swine	na	26/01/2016	KU695711	mixed	USA	1A.3.3.3	1A.3.3.3
fludb|KU357026|A/swine/Indiana/A01798096/2015|H1N1|USA|Swine|1A.3.3.3|11/13/2015	fludb	na	A/swine/Indiana/A01798096/2015	swine	na	13/11/2015	KU357026	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|MH550882|A/swine/Indiana/A01812254/2017|H1N1|USA|Swine|1A.3.3.3|01/11/2017	fludb	na	A/swine/Indiana/A01812254/2017	swine	na	11/01/2017	MH550882	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|MH463568|A/swine/Indiana/A01812277/2018|H1N2|USA|Swine|1B.2.2.1|05/07/2018	fludb	na	A/swine/Indiana/A01812277/2018	swine	na	07/05/2018	MH463568	H1N2	USA	1B.2.2.1	1B.2.2.1
fludb|MH463580|A/swine/Indiana/A01812278/2018|H1N2|USA|Swine|1B.2.2.1|05/04/2018	fludb	na	A/swine/Indiana/A01812278/2018	swine	na	04/05/2018	MH463580	H1N2	USA	1B.2.2.1	1B.2.2.1
fludb|MK570087|A/swine/Indiana/A01812287/2019|H1N2|USA|Swine|1B.2.2.1|01/04/2019	fludb	na	A/swine/Indiana/A01812287/2019	swine	na	04/01/2019	MK570087	H1N2	USA	1B.2.2.1	1B.2.2.1
fludb|MK816871|A/swine/Indiana/A01812289/2019|H1N2|USA|Swine|1B.2.1|03/22/2019	fludb	na	A/swine/Indiana/A01812289/2019	swine	na	22/03/2019	MK816871	H1N2	USA	1B.2.1	1B.2.1
fludb|MK890309|A/swine/Indiana/A01812291/2019|H1N2|USA|Swine|1A.1.1|04/08/2019	fludb	na	A/swine/Indiana/A01812291/2019	swine	na	08/04/2019	MK890309	H1N2	USA	1A.1.1	1A.1.1
fludb|MN101213|A/swine/Indiana/A01812293/2019|H1N2|USA|Swine|1B.2.2.1|05/03/2019	fludb	na	A/swine/Indiana/A01812293/2019	swine	na	03/05/2019	MN101213	H1N2	USA	1B.2.2.1	1B.2.2.1
fludb|KU379601|A/swine/Indiana/A01895024/2015|H1N2|USA|Swine|1A.3.3.3|11/23/2015	fludb	na	A/swine/Indiana/A01895024/2015	swine	na	23/11/2015	KU379601	H1N2	USA	1A.3.3.3	1A.3.3.3
fludb|KY802112|A/swine/Indiana/A01932256/2017|H1N2|USA|Swine|1B.2.1|02/15/2017	fludb	na	A/swine/Indiana/A01932256/2017	swine	na	15/02/2017	KY802112	H1N2	USA	1B.2.1	1B.2.1
fludb|KT867226|A/swine/Indiana/A01944001/2015|H1N1|USA|Swine|1A.3.3.2|09/08/2015	fludb	na	A/swine/Indiana/A01944001/2015	swine	na	08/09/2015	KT867226	H1N1	USA	1A.3.3.2	1A.3.3.2
fludb|MH156839|A/swine/Indiana/A02154756/2018|H1N2|USA|Swine|1B.2.1|02/27/2018	fludb	na	A/swine/Indiana/A02154756/2018	swine	na	27/02/2018	MH156839	H1N2	USA	1B.2.1	1B.2.1
fludb|MK266770|A/swine/Indiana/A02269648/2018|H1N2|USA|Swine|1B.2.1|11/06/2018	fludb	na	A/swine/Indiana/A02269648/2018	swine	na	06/11/2018	MK266770	H1N2	USA	1B.2.1	1B.2.1
fludb|MK371695|A/swine/Indiana/A02271343/2018|H1N1|USA|Swine|1A.3.3.3|12/05/2018	fludb	na	A/swine/Indiana/A02271343/2018	swine	na	05/12/2018	MK371695	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|MK391646|A/swine/Indiana/A02427670/2018|H1N2|USA|Swine|1B.2.1|12/14/2018	fludb	na	A/swine/Indiana/A02427670/2018	swine	na	14/12/2018	MK391646	H1N2	USA	1B.2.1	1B.2.1
fludb|MK677426|A/swine/Indiana/A02430689/2019|H1N1|USA|Swine|1A.3.3.3|02/21/2019	fludb	na	A/swine/Indiana/A02430689/2019	swine	na	21/02/2019	MK677426	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|MK844247|A/swine/Indiana/A02431890/2019|H1N1|USA|Swine|1A.3.3.3|03/29/2019	fludb	na	A/swine/Indiana/A02431890/2019	swine	na	29/03/2019	MK844247	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|HM585494|A/swine/Iowa/03031/2010|H1N1|USA|Swine|1A.2|05/27/2010	fludb	na	A/swine/Iowa/03031/2010	swine	na	27/05/2010	HM585494	H1N1	USA	1A.2	1A.2
fludb|KF704120|A/swine/Iowa/13C094/2013|H1N2|USA|Swine|1B.2.2.1|03/26/2013	fludb	na	A/swine/Iowa/13C094/2013	swine	na	26/03/2013	KF704120	H1N2	USA	1B.2.2.1	1B.2.2.1
fludb|MK109140|A/swine/Iowa/17TOSU3127/2017|H1N2|USA|Swine|1B.2.2.1|06/01/2017	fludb	na	A/swine/Iowa/17TOSU3127/2017	swine	na	01/06/2017	MK109140	H1N2	USA	1B.2.2.1	1B.2.2.1
fludb|JX853811|A/swine/Iowa/19/2012|H1N2|USA|Swine|1B.2.2.2|09/10/2012	fludb	na	A/swine/Iowa/19/2012	swine	na	10/09/2012	JX853811	H1N2	USA	1B.2.2.2	1B.2.2.2
fludb|HQ424885|A/swine/Iowa/44837_1/2009|H1N1|USA|Swine|1A.3.3.2|11/08/2009	fludb	na	A/swine/Iowa/44837_1/2009	swine	na	08/11/2009	HQ424885	H1N1	USA	1A.3.3.2	1A.3.3.2
fludb|HQ378732|A/swine/Iowa/46519_2/2008|H1N1|USA|Swine|1A.2|10/16/2008	fludb	na	A/swine/Iowa/46519_2/2008	swine	na	16/10/2008	HQ378732	H1N1	USA	1A.2	1A.2
fludb|HQ378738|A/swine/Iowa/46519_4/2008|H1N1|USA|Swine|1A.2|12/12/2008	fludb	na	A/swine/Iowa/46519_4/2008	swine	na	12/12/2008	HQ378738	H1N1	USA	1A.2	1A.2
fludb|JF812282|A/swine/Iowa/A01049060/2010|H1N2|USA|Swine|1B.2.2|11/16/2010	fludb	na	A/swine/Iowa/A01049060/2010	swine	na	16/11/2010	JF812282	H1N2	USA	1B.2.2	1B.2.2
fludb|JX080623|A/swine/Iowa/A01049263/2010|H1N2|USA|Swine|1B.2.2.1|12/08/2010	fludb	na	A/swine/Iowa/A01049263/2010	swine	na	08/12/2010	JX080623	H1N2	USA	1B.2.2.1	1B.2.2.1
fludb|JX080631|A/swine/Iowa/A01049578/2011|H1N1|USA|Swine|1A.3.3.2|02/17/2011	fludb	na	A/swine/Iowa/A01049578/2011	swine	na	17/02/2011	JX080631	H1N1	USA	1A.3.3.2	1A.3.3.2
fludb|JX080634|A/swine/Iowa/A01049661/2011|H1N2|USA|Swine|1B.2.2.1|03/08/2011	fludb	na	A/swine/Iowa/A01049661/2011	swine	na	08/03/2011	JX080634	H1N2	USA	1B.2.2.1	1B.2.2.1
fludb|JX080635|A/swine/Iowa/A01049694/2011|mixed|USA|Swine|1A.3.3.3|03/16/2011	fludb	na	A/swine/Iowa/A01049694/2011	swine	na	16/03/2011	JX080635	mixed	USA	1A.3.3.3	1A.3.3.3
fludb|JX092278|A/swine/Iowa/A01202411/2011|H1N2|USA|Swine|1B.2.2.1|06/30/2011	fludb	na	A/swine/Iowa/A01202411/2011	swine	na	30/06/2011	JX092278	H1N2	USA	1B.2.2.1	1B.2.2.1
fludb|JX092423|A/swine/Iowa/A01202718/2011|H1N1|USA|Swine|1A.2|10/19/2011	fludb	na	A/swine/Iowa/A01202718/2011	swine	na	19/10/2011	JX092423	H1N1	USA	1A.2	1A.2
fludb|JX092425|A/swine/Iowa/A01202728/2011|H1N1|USA|Swine|1A.3.3.3|10/17/2011	fludb	na	A/swine/Iowa/A01202728/2011	swine	na	17/10/2011	JX092425	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|JX092426|A/swine/Iowa/A01202742/2011|H1N2|USA|Swine|1B.2.2.1|10/20/2011	fludb	na	A/swine/Iowa/A01202742/2011	swine	na	20/10/2011	JX092426	H1N2	USA	1B.2.2.1	1B.2.2.1
fludb|JX080550|A/swine/Iowa/A01203439/2012|H1N2|USA|Swine|1B.2.2.2|04/17/2012	fludb	na	A/swine/Iowa/A01203439/2012	swine	na	17/04/2012	JX080550	H1N2	USA	1B.2.2.2	1B.2.2.2
fludb|JX267174|A/swine/Iowa/A01203566/2012|H1N2|USA|Swine|1B.2.2.1|05/30/2012	fludb	na	A/swine/Iowa/A01203566/2012	swine	na	30/05/2012	JX267174	H1N2	USA	1B.2.2.1	1B.2.2.1
fludb|KC134405|A/swine/Iowa/A01203905/2012|H1N1|USA|Swine|1A.3.3.3|10/2012	fludb	na	A/swine/Iowa/A01203905/2012	swine	na	2012-10-	KC134405	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|KF986917|A/swine/Iowa/A01290859/2013|mixed|USA|Swine|1B.2.2.1|11/2013	fludb	na	A/swine/Iowa/A01290859/2013	swine	na	2013-11-	KF986917	mixed	USA	1B.2.2.1	1B.2.2.1
fludb|KF680058|A/swine/Iowa/A01364403/2013|H1N1|USA|Swine|1A.3.3.3|08/27/2013	fludb	na	A/swine/Iowa/A01364403/2013	swine	na	27/08/2013	KF680058	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|KF709399|A/swine/Iowa/A01364844/2013|H1N1|USA|Swine|1A.3.3.3|09/16/2013	fludb	na	A/swine/Iowa/A01364844/2013	swine	na	16/09/2013	KF709399	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|KC992254|A/swine/Iowa/A01379800/2013|H1N2|USA|Swine|1B.2.2.2|04/16/2013	fludb	na	A/swine/Iowa/A01379800/2013	swine	na	16/04/2013	KC992254	H1N2	USA	1B.2.2.2	1B.2.2.2
fludb|KF874247|A/swine/Iowa/A01394642/2013|H1N2|USA|Swine|1B.2.2.2|10/31/2013	fludb	na	A/swine/Iowa/A01394642/2013	swine	na	31/10/2013	KF874247	H1N2	USA	1B.2.2.2	1B.2.2.2
fludb|KJ701807|A/swine/Iowa/A01410456/2014|H1N2|USA|Swine|1B.2.2.2|03/2014	fludb	na	A/swine/Iowa/A01410456/2014	swine	na	2014-03-	KJ701807	H1N2	USA	1B.2.2.2	1B.2.2.2
fludb|KM245314|A/swine/Iowa/A01410990/2014|H1N1|USA|Swine|1A.3.3.2|06/19/2014	fludb	na	A/swine/Iowa/A01410990/2014	swine	na	19/06/2014	KM245314	H1N1	USA	1A.3.3.2	1A.3.3.2
fludb|KC261856|A/swine/Iowa/A01432105/2012|H1N2|USA|Swine|1B.2.2.2|11/2012	fludb	na	A/swine/Iowa/A01432105/2012	swine	na	2012-11-	KC261856	H1N2	USA	1B.2.2.2	1B.2.2.2
fludb|KC992284|A/swine/Iowa/A01432669/2013|H1N2|USA|Swine|1B.2.2.2|04/2013	fludb	na	A/swine/Iowa/A01432669/2013	swine	na	2013-04-	KC992284	H1N2	USA	1B.2.2.2	1B.2.2.2
